Year,Section,Population,Deployed_Amount,Crime_Amount,Crime_Rate
2013,lancashire,1535480,5971,177154,0.1153736942193972
2013,leicestershire,1074367,4059,84612,0.07875521120808811
2013,lincolnshire,750845,1845,59602,0.07937989864752379
2013,merseyside,1427163,7026,151406,0.10608879294096049
2013,norfolk,1336159,3245,67142,0.05025000767124272
2013,north-wales,711923,2865,63430,0.08909671411093616
2013,north-yorkshire,924180,2747,68369,0.07397801294120193
2013,northamptonshire,779168,2639,73752,0.09465481128588443
2013,northumbria,1453805,6022,149263,0.10267057824123593
2013,nottinghamshire,1157224,4179,102203,0.0883173871264336
2013,south-wales,1426065,5203,120694,0.0846342908633197
2013,south-yorkshire,1454286,5832,177426,0.12200213713121077
2013,staffordshire,1208009,3880,89231,0.07386617152686777
2013,suffolk,785481,2576,63275,0.08055573591213537
2013,surrey,1319163,4615,85997,0.06519057917785748
2013,sussex,1683525,5727,136674,0.08118323161224217
2013,thames-valley,2317311,8649,157553,0.06798957930118141
2013,warwickshire,630853,1918,47512,0.07531390038566829
2013,west-mercia,1347312,4322,108001,0.08016034890211028
2013,west-midlands,2832544,12070,248570,0.08775503575584351
2013,west-yorkshire,2348244,9527,250305,0.10659241543894075
2013,wiltshire,768176,2443,55245,0.07191711274499595
2014,avon-and-somerset,1777341,5803,140161,0.07885993740087018
2014,bedfordshire,745841,2159,59048,0.07916968898196801
2014,cambridgeshire,907409,2724,71815,0.07914292232058531
2014,cheshire,1086288,3803,86323,0.07946603479003726
2014,city-of-london,45222,1249,6266,0.13856087744902923
2014,cleveland,569076,1863,84611,0.14868137120525202
2014,cumbria,520670,2109,47015,0.09029711717594638
2014,derbyshire,1163196,3436,97372,0.08371074178384383
2014,dorset,795155,2646,60977,0.07668567763517804
2014,durham,702019,2424,58961,0.08398775531716378
2014,dyfed-powys,568902,2145,36801,0.0646877669616208
2014,essex,1857714,5972,150756,0.08115135053081368
2014,gloucestershire,661478,2162,53048,0.08019616676593931
2014,greater-manchester,2757768,12252,321370,0.11653264524064388
2014,gwent,895603,2430,63192,0.07055804859965856
2014,hampshire,2148256,6200,157412,0.07327432112373944
2014,hertfordshire,1283905,4024,81528,0.06350002531339935
2014,humberside,939401,4071,86995,0.09260688459986736
2014,kent,1856579,6276,158770,0.08551750289107009
2014,lancashire,1546957,5768,166773,0.10780713361780579
2014,leicestershire,1097565,4058,81154,0.07394003999763112
2014,lincolnshire,759180,1828,56048,0.07382702389420163
2014,merseyside,1423512,6716,153418,0.10777429343763874
2014,norfolk,939417,3275,68729,0.0731613330395341
2014,north-wales,716643,2864,59965,0.0836748562394386
2014,north-yorkshire,937462,2810,66943,0.07140876110178332
2014,northamptonshire,831385,2739,76313,0.09179020550046008
2014,northumbria,1457873,5872,151334,0.10380465239427578
2014,nottinghamshire,1162419,4311,109859,0.09450895073119073
2014,south-wales,1468759,5306,130512,0.08885868954675341
2014,south-yorkshire,1440612,5787,175710,0.12196899650981666
2014,staffordshire,1196577,3748,86737,0.07248760422438338
2014,suffolk,814943,2632,58388,0.0716467286669129
2014,surrey,1572022,4277,82027,0.052179295200703295
2014,sussex,1732655,5735,138106,0.07970773177580072
2014,thames-valley,2341064,8590,142247,0.06076168784791872
2014,warwickshire,661624,1810,44659,0.06749906291186535
2014,west-mercia,1358559,4125,107470,0.07910587615259992
2014,west-midlands,2855792,11710,244959,0.08577620498971913
2014,west-yorkshire,2326965,9254,231707,0.09957476799178329
2014,wiltshire,754090,2406,52146,0.06915089710777228
2015,avon-and-somerset,1908725,5812,142367,0.07458748641108594
2015,bedfordshire,744036,2386,61437,0.08257261745399416
2015,cambridgeshire,922292,2701,69841,0.07572547522910315
2015,cheshire,1089367,3901,85109,0.07812702239006689
2015,city-of-london,53421,1239,5923,0.11087400086108459
2015,cleveland,571568,1759,89754,0.1570311843910086
2015,cumbria,518026,2086,40471,0.07812542227610197
2015,derbyshire,1182559,3670,95936,0.08112576201271987
2015,dorset,801037,2743,59117,0.07380058599040994
2015,durham,694845,2343,57526,0.08278968690859112
2015,dyfed-powys,577550,2077,35951,0.06224742446541425
2015,essex,1910709,5822,160985,0.08425406485236632
2015,gloucestershire,654736,2130,52671,0.08044616456098336
2015,greater-manchester,2783736,12081,344210,0.12365037489187193
2015,gwent,920590,2272,61125,0.06639763629846077
2015,hampshire,2220078,5728,176316,0.07941883123025407
2015,hertfordshire,1244469,3867,88949,0.07147546463592103
2015,humberside,939926,3794,84376,0.08976876903075348
2015,kent,1892053,6117,156849,0.08289884057159075
2015,lancashire,1555771,5492,165588,0.1064346873672282
2015,leicestershire,1137391,3921,72814,0.06401844220676971
2015,lincolnshire,789577,1842,55031,0.0696968123438246
2015,merseyside,1428618,6460,153921,0.10774118763728302
2015,norfolk,986613,3213,68041,0.06896422406759287
2015,north-wales,709796,2849,59244,0.08346623536903561
2015,north-yorkshire,987431,2865,66777,0.06762700381089919
2015,northamptonshire,922427,2763,76232,0.08264285412287369
