,Year,Geo_Code,Force_Name,Deployed_Amount
161,2013,E23000033,Sussex,5727
162,2013,E23000034,"London, City of",1268
163,2013,E23000035,Devon & Cornwall,6038
164,2013,E23000036,Avon & Somerset,5860
165,2013,E23000037,Gloucestershire,2231
166,2013,E23000038,Wiltshire,2443
167,2013,E23000039,Dorset,2712
168,2013,W15000001,North Wales,2865
169,2013,W15000002,Gwent,2574
170,2013,W15000003,South Wales,5203
171,2013,W15000004,Dyfed-Powys,2128
172,2014,E23000001,Metropolitan Police,50799
173,2014,E23000002,Cumbria,2109
174,2014,E23000003,Lancashire,5768
175,2014,E23000004,Merseyside,6716
176,2014,E23000005,Greater Manchester,12252
177,2014,E23000006,Cheshire,3803
178,2014,E23000007,Northumbria,5872
179,2014,E23000008,Durham,2424
180,2014,E23000009,North Yorkshire,2810
181,2014,E23000010,West Yorkshire,9254
182,2014,E23000011,South Yorkshire,5787
183,2014,E23000012,Humberside,4071
184,2014,E23000013,Cleveland,1863
185,2014,E23000014,West Midlands,11710
186,2014,E23000015,Staffordshire,3748
187,2014,E23000016,West Mercia,4125
188,2014,E23000017,Warwickshire,1810
189,2014,E23000018,Derbyshire,3436
190,2014,E23000019,Nottinghamshire,4311
191,2014,E23000020,Lincolnshire,1828
192,2014,E23000021,Leicestershire,4058
193,2014,E23000022,Northamptonshire,2739
194,2014,E23000023,Cambridgeshire,2724
195,2014,E23000024,Norfolk,3275
196,2014,E23000025,Suffolk,2632
197,2014,E23000026,Bedfordshire,2159
198,2014,E23000027,Hertfordshire,4024
199,2014,E23000028,Essex,5972
200,2014,E23000029,Thames Valley,8590
201,2014,E23000030,Hampshire,6200
202,2014,E23000031,Surrey,4277
203,2014,E23000032,Kent,6276
204,2014,E23000033,Sussex,5735
205,2014,E23000034,"London, City of",1249
206,2014,E23000035,Devon & Cornwall,6059
207,2014,E23000036,Avon & Somerset,5803
208,2014,E23000037,Gloucestershire,2162
209,2014,E23000038,Wiltshire,2406
210,2014,E23000039,Dorset,2646
211,2014,W15000001,North Wales,2864
212,2014,W15000002,Gwent,2430
213,2014,W15000003,South Wales,5306
214,2014,W15000004,Dyfed-Powys,2145
215,2015,E23000001,Metropolitan Police,50461
216,2015,E23000002,Cumbria,2086
217,2015,E23000003,Lancashire,5492
218,2015,E23000004,Merseyside,6460
219,2015,E23000005,Greater Manchester,12081
220,2015,E23000006,Cheshire,3901
221,2015,E23000007,Northumbria,5684
222,2015,E23000008,Durham,2343
223,2015,E23000009,North Yorkshire,2865
224,2015,E23000010,West Yorkshire,9596
225,2015,E23000011,South Yorkshire,5553
226,2015,E23000012,Humberside,3794
227,2015,E23000013,Cleveland,1759
228,2015,E23000014,West Midlands,11709
229,2015,E23000015,Staffordshire,3696
230,2015,E23000016,West Mercia,4169
231,2015,E23000017,Warwickshire,1797
232,2015,E23000018,Derbyshire,3670
233,2015,E23000019,Nottinghamshire,4123
234,2015,E23000020,Lincolnshire,1842
235,2015,E23000021,Leicestershire,3921
236,2015,E23000022,Northamptonshire,2763
237,2015,E23000023,Cambridgeshire,2701
238,2015,E23000024,Norfolk,3213
239,2015,E23000025,Suffolk,2511
