Year,Month,Section,Amount
2011,4,norfolk,8066
2011,4,north-wales,6288
2011,4,north-yorkshire,7293
2011,4,northamptonshire,8491
2011,4,northumbria,15490
2011,4,nottinghamshire,12371
2011,4,south-wales,14795
2011,4,south-yorkshire,18124
2011,4,staffordshire,9144
2011,4,suffolk,7356
2011,4,surrey,9679
2011,4,sussex,16211
2011,4,thames-valley,19564
2011,4,warwickshire,5040
2011,4,west-mercia,12271
2011,4,west-midlands,31273
2011,4,west-yorkshire,27347
2011,4,wiltshire,5762
2011,5,avon-and-somerset,15930
2011,5,bedfordshire,6639
2011,5,btp,1751
2011,5,cambridgeshire,7579
2011,5,cheshire,8163
2011,5,city-of-london,769
2011,5,cleveland,8299
2011,5,cumbria,4474
2011,5,derbyshire,10187
2011,5,devon-and-cornwall,11902
2011,5,dorset,7684
2011,5,durham,6664
2011,5,dyfed-powys,5033
2011,5,essex,13390
2011,5,gloucestershire,5687
2011,5,greater-manchester,30476
2011,5,gwent,5151
2011,5,hampshire,19280
2011,5,hertfordshire,10269
2011,5,humberside,9638
2011,5,kent,14985
2011,5,lancashire,18052
2011,5,leicestershire,8963
2011,5,lincolnshire,6781
2011,5,merseyside,13457
2011,5,metropolitan,112448
2011,5,norfolk,8373
2011,5,north-wales,5616
2011,5,north-yorkshire,6789
2011,5,northamptonshire,8279
2011,5,northumbria,14990
2011,5,nottinghamshire,11833
2011,5,south-wales,11856
2011,5,south-yorkshire,17088
2011,5,staffordshire,7510
2011,5,suffolk,7460
2011,5,surrey,10110
2011,5,sussex,16128
2011,5,thames-valley,18320
2011,5,warwickshire,4959
2011,5,west-mercia,11313
2011,5,west-midlands,30000
2011,5,west-yorkshire,26258
2011,5,wiltshire,5411
2011,6,avon-and-somerset,16013
2011,6,bedfordshire,6600
2011,6,btp,1709
2011,6,cambridgeshire,7452
2011,6,cheshire,8260
2011,6,city-of-london,792
2011,6,cleveland,8208
2011,6,cumbria,4554
2011,6,derbyshire,10444
2011,6,devon-and-cornwall,11474
2011,6,dorset,7455
2011,6,durham,6777
2011,6,dyfed-powys,3959
2011,6,essex,13647
2011,6,gloucestershire,5386
2011,6,greater-manchester,29774
2011,6,gwent,6810
2011,6,hampshire,17399
2011,6,hertfordshire,9681
2011,6,humberside,9430
2011,6,kent,14232
2011,6,lancashire,18568
2011,6,leicestershire,8712
2011,6,lincolnshire,6459
2011,6,merseyside,13068
2011,6,metropolitan,109074
2011,6,norfolk,7892
2011,6,north-wales,5528
